id	CFB1	CFB2	CFB3	TFB1	TFB2	TFB3	logFC	logCPM	LR	PValue	FDR	sig	up/down
gnl|Amel_4.5|GB49458-RA	856	313	263	75	114	68	-1.061954007	4.064950902	3.960201279	0.046588132	0.244412008	0	-
gnl|Amel_4.5|GB49459-RA	1406	868	713	356	274	214	-0.449795151	5.445557885	0.803362586	0.370089909	0.676191776	0	-
gnl|Amel_4.5|GB49462-RA	60	209	201	420	275	544	2.500578988	4.983013028	12.77119082	0.000351999	0.010001905	1	+
gnl|Amel_4.5|GB49463-RA	58	21	36	11	24	18	0.1620944	1.109248739	0.053099797	0.817754597	0.932257042	0	+
gnl|Amel_4.5|GB49466-RA	4	10	0	0	20	3	1.673389305	-0.700896415	1.475863602	0.224422823	0.534550199	0	+
gnl|Amel_4.5|GB49467-RA	11	2	0	0	4	0	-0.245174214	-1.602000368	0.025561822	0.872975091	0.956442002	0	-
gnl|Amel_4.5|GB49468-RA	2209	2125	1526	1057	676	536	-0.051272637	6.671488812	0.008949945	0.924629254	0.974663163	0	-
gnl|Amel_4.5|GB49469-RA	718	623	556	363	178	221	0.018713502	5.087756334	0.001175078	0.972654344	0.990649192	0	+
gnl|Amel_4.5|GB49470-RA	689	133	147	44	85	66	-0.800611344	3.496555597	1.805736868	0.17902048	0.479514537	0	-
gnl|Amel_4.5|GB49471-RA	4561	1795	1372	223	455	435	-1.39290864	6.375351303	7.479464667	0.006240662	0.077948552	0	-
gnl|Amel_4.5|GB49473-RA	0	0	0	0	5	5	5.495792093	-1.877853113	9.758843853	0.001784621	0.034092317	1	+
gnl|Amel_4.5|GB49475-RA	7	1	0	0	6	5	1.900498324	-1.430821372	1.95518136	0.162029602	0.456218314	0	+
gnl|Amel_4.5|GB49476-RA	752	317	379	45	179	106	-0.884522992	4.223028637	2.575813716	0.108508291	0.370841197	0	-
gnl|Amel_4.5|GB49478-RA	5	0	1	0	5	0	0.993613649	-1.8889303	0.391631914	0.531442844	0.783237316	0	+
gnl|Amel_4.5|GB49480-RA	181	96	85	52	71	116	0.757783895	3.001006981	1.614303219	0.203887956	0.509719889	0	+
gnl|Amel_4.5|GB49481-RA	712	284	243	75	183	90	-0.490916475	4.080520201	0.857747122	0.354369912	0.663484428	0	-
gnl|Amel_4.5|GB49482-RA	3	4	0	0	0	1	-1.272586416	-2.09534108	0.546502353	0.459750363	0.736830329	0	-
gnl|Amel_4.5|GB49484-RA	1108	1949	1466	387	697	801	-0.148796834	6.363527394	0.071712887	0.788858952	0.91949174	0	-
gnl|Amel_4.5|GB49485-RA	1223	636	907	217	220	122	-1.016302256	5.176565984	3.871525677	0.049111858	0.252212412	0	-
gnl|Amel_4.5|GB49486-RA	2041	757	703	394	657	435	0.15552037	5.855797872	0.10487563	0.746055332	0.899300406	0	+
gnl|Amel_4.5|GB49487-RA	387	132	132	148	239	85	0.922081068	3.868454119	2.646302315	0.10379107	0.362257793	0	+
gnl|Amel_4.5|GB49488-RA	23	2	2	0	10	2	0.277283989	-0.804646933	0.053133996	0.81769695	0.932257042	0	+
gnl|Amel_4.5|GB49489-RA	2297	940	880	181	364	215	-1.091687516	5.599019033	5.064739466	0.024417375	0.175369025	0	-
gnl|Amel_4.5|GB49490-RA	686	93	61	36	258	109	0.460144658	3.7297491	0.39825318	0.527992769	0.782006463	0	+
gnl|Amel_4.5|GB49491-RA	543	261	192	163	297	135	0.598930535	4.321162007	1.35300409	0.244753624	0.55586243	0	+
gnl|Amel_4.5|GB49492-RA	2841	3137	2696	1052	1081	657	-0.424839542	7.117078786	0.637245932	0.424709848	0.715978222	0	-
gnl|Amel_4.5|GB49493-RA	173	80	81	20	58	7	-0.745096115	2.218729074	1.107187732	0.292694091	0.60474403	0	-
gnl|Amel_4.5|GB49494-RA	274	261	247	118	120	88	-0.03196066	3.817690547	0.003249653	0.95454063	0.984684895	0	-
gnl|Amel_4.5|GB49495-RA	7285	1100	743	161	1497	405	-0.68726343	6.621636626	0.948497897	0.33010194	0.641593596	0	-
gnl|Amel_4.5|GB49496-RA	1977	519	489	254	515	272	-0.073979051	5.433138647	0.02132036	0.883909601	0.960337931	0	-
gnl|Amel_4.5|GB49497-RA	1472	397	301	70	267	137	-0.778360466	4.665852154	1.92178711	0.165659784	0.462665788	0	-
gnl|Amel_4.5|GB49498-RA	1320	370	312	62	296	133	-0.65658656	4.617857885	1.323620717	0.249943278	0.56125698	0	-
gnl|Amel_4.5|GB49500-RA	445	210	167	168	216	77	0.536237949	4.012704558	0.933196109	0.334033793	0.644684217	0	+
gnl|Amel_4.5|GB49501-RA	6	6	6	2	0	2	-0.832838786	-1.310786351	0.490774281	0.483582118	0.75301008	0	-
gnl|Amel_4.5|GB49502-RA	2	8	0	0	0	2	-1.007265362	-1.813797391	0.348569468	0.554924039	0.795030538	0	-
gnl|Amel_4.5|GB49503-RA	7	29	7	10	6	2	-0.062668007	-0.136175851	0.00381697	0.950736731	0.983076412	0	-
gnl|Amel_4.5|GB49504-RA	94	2172	964	984	130	272	-0.019629792	6.070590093	0.0004426	0.983215301	0.993218764	0	-
gnl|Amel_4.5|GB49505-RA	545	496	364	324	454	502	1.11782205	5.285947159	5.170500287	0.022973599	0.169547	0	+
gnl|Amel_4.5|GB49506-RA	172	54	41	0	42	30	-0.551670647	1.871587509	0.380392778	0.537393103	0.786956464	0	-
gnl|Amel_4.5|GB49507-RA	0	2	2	1	0	1	0.116291144	-2.21109807	0.005328303	0.941809918	0.979685058	0	+
gnl|Amel_4.5|GB49508-RA	2	12	2	1	0	13	0.988617378	-0.918067585	0.498559143	0.480133907	0.750705203	0	+
gnl|Amel_4.5|GB49510-RA	110	0	0	0	45	23	1.007032097	1.038240084	0.446014704	0.504233609	0.767580127	0	+
gnl|Amel_4.5|GB49511-RA	1268	319	226	59	218	260	-0.26150702	4.588834475	0.186496994	0.665848273	0.856377029	0	-
gnl|Amel_4.5|GB49514-RA	673	427	376	233	218	252	0.270686696	4.788768019	0.290050601	0.590188106	0.816540815	0	+
gnl|Amel_4.5|GB49515-RA	681	291	185	197	624	600	1.673585963	5.218992979	9.716841011	0.001825871	0.034600838	1	+
gnl|Amel_4.5|GB49516-RA	63	0	0	0	10	4	-0.46982491	-0.156076859	0.09569404	0.757059458	0.904253267	0	-
gnl|Amel_4.5|GB49517-RA	829	554	514	357	308	242	0.261125192	5.164101212	0.277197842	0.59854376	0.82086455	0	+
gnl|Amel_4.5|GB49518-RA	404	216	152	66	69	62	-0.57509853	3.415734323	1.09585559	0.295177431	0.607123877	0	-
gnl|Amel_4.5|GB49519-RA	256	50	36	44	114	56	0.836970164	2.737134781	1.569221048	0.210320173	0.517593349	0	+
gnl|Amel_4.5|GB49520-RA	416	197	227	202	102	111	0.40889989	4.022396102	0.503226429	0.478085877	0.748591147	0	+
gnl|Amel_4.5|GB49521-RA	185	100	106	20	22	13	-1.508225898	2.265907916	5.514959185	0.018854513	0.152673698	0	-
gnl|Amel_4.5|GB49522-RA	194	200	177	49	50	30	-0.925350991	3.03332982	2.307495342	0.128751366	0.405601387	0	-
gnl|Amel_4.5|GB49523-RA	9	2	9	0	0	0	-5.341589527	-1.444995339	7.312990234	0.006845792	0.082523925	0	-
gnl|Amel_4.5|GB49524-RA	7	6	9	8	7	4	0.988834675	-0.58339103	1.163884315	0.280661422	0.592752512	0	+
gnl|Amel_4.5|GB49525-RA	2166	1093	830	156	409	398	-0.757987587	5.720903525	2.275418412	0.131439648	0.410349885	0	-
gnl|Amel_4.5|GB49526-RA	2487	4410	5319	1069	217	754	-1.350223572	7.404507439	3.546822984	0.059659576	0.27508844	0	-
gnl|Amel_4.5|GB49527-RA	683	651	637	343	163	271	-0.039499311	5.145947916	0.005072846	0.943219549	0.979945205	0	-
gnl|Amel_4.5|GB49528-RA	1274	1079	1129	515	325	308	-0.308690431	5.828426866	0.33718725	0.561457312	0.79827254	0	-
gnl|Amel_4.5|GB49529-RA	1955	884	686	326	689	314	-0.072707455	5.773408304	0.022476491	0.880826457	0.959054558	0	-
gnl|Amel_4.5|GB49533-RA	587	783	756	272	256	344	-0.102505437	5.284094545	0.037010565	0.847443539	0.945736112	0	-
gnl|Amel_4.5|GB49534-RA	1995	275	237	89	585	149	-0.14048776	5.009259463	0.043421406	0.834933804	0.939355279	0	-
gnl|Amel_4.5|GB49535-RA	447	232	274	89	198	224	0.373278414	4.21700496	0.483338187	0.486914133	0.755034536	0	+
gnl|Amel_4.5|GB49536-RA	548	56	61	16	257	95	0.627048183	3.495925016	0.617960516	0.431806182	0.720591039	0	+
gnl|Amel_4.5|GB49537-RA	563	854	826	197	95	107	-1.265642664	4.945435253	4.29472316	0.03823082	0.220634184	0	-
gnl|Amel_4.5|GB49538-RA	587	346	410	170	263	220	0.218251182	4.655592288	0.192052867	0.661213499	0.85498629	0	+
gnl|Amel_4.5|GB49539-RA	361	170	83	64	88	104	0.187679396	3.350995941	0.108414784	0.74195615	0.896915914	0	+
gnl|Amel_4.5|GB49540-RA	551	191	123	210	411	317	1.562784859	4.666671781	8.753072024	0.00309081	0.049390301	1	+
gnl|Amel_4.5|GB49541-RA	622	177	160	137	521	474	1.651683204	4.882571555	8.267503951	0.004036096	0.058776886	0	+
gnl|Amel_4.5|GB49543-RA	4399	1765	1119	394	1122	865	-0.225271509	6.691228347	0.189150904	0.663624254	0.855862998	0	-
gnl|Amel_4.5|GB49544-RA	118740	60600	121842	30197	44030	36846	-0.236361946	12.29528098	0.198308411	0.656089727	0.85218157	0	-
gnl|Amel_4.5|GB49545-RA	184	466	498	126	43	124	-0.803294908	4.206383459	1.30112478	0.254007872	0.564690306	0	-
gnl|Amel_4.5|GB49547-RA	0	0	0	0	8	0	4.993191201	-2.037498399	6.222032847	0.012617017	0.120319534	0	+
gnl|Amel_4.5|GB49548-RA	1144	344	264	94	564	485	0.782880243	5.144062562	1.730036315	0.18840626	0.490080075	0	+
gnl|Amel_4.5|GB49549-RA	889	226	135	139	437	232	0.840586952	4.627780348	2.155134165	0.142094031	0.427199837	0	+
gnl|Amel_4.5|GB49551-RA	564	25	23	11	108	22	-0.529112138	2.743059443	0.323690461	0.569398208	0.804126324	0	-
gnl|Amel_4.5|GB49552-RA	7485	6943	2554	3855	2765	2988	0.565713626	8.459781267	1.032034939	0.309681198	0.622641096	0	+
gnl|Amel_4.5|GB49553-RA	1560	710	552	556	1092	692	1.081131723	6.123015282	4.956433411	0.025993767	0.180385149	0	+
